Name,Indexed Name,Current Affiliation,Document count,Citations Count,Subject of Interest,Keywords
ArmandoFandango,Fandango A.,"University of Central Florida, Institute for Simulation and Training",3,0,"['Computer Science (all)', 'Computer Vision and Pattern Recognition', 'Software', 'Mathematics (all)', 'Computer Networks and Communications', 'Human-Computer Interaction']","['Gated recurrent unit networks', 'Long short-term memory networks', 'Recurrent neural networks', 'Short-term traffic flow forecasting']"
AmitaKapoor,Kapoor A.,Shaheed Rajguru College Of Applied Sciences For Women,16,33,"['Hardware and Architecture', 'Condensed Matter Physics', 'Human-Computer Interaction', 'Electronic, Optical and Magnetic Materials', 'Engineering (all)', 'Education', 'Control and Systems Engineering', 'Communication', 'Applied Mathematics', 'Atomic and Molecular Physics, and Optics', 'Electrical and Electronic Engineering', 'Information Systems', 'Computer Networks and Communications', 'Computer Science (all)', 'Signal Processing', 'Computer Science Applications', 'Mathematics (all)', 'Statistical and Nonlinear Physics', 'Sociology and Political Science', 'Computer Science (miscellaneous)']","['Gated recurrent unit networks', 'Long short-term memory networks', 'Recurrent neural networks', 'Short-term traffic flow forecasting']"
ImonBanerjee,Banerjee I.,"Stanford University, Department of Biomedical Data Science",19,37,"['Biomedical Engineering', 'Histology', 'Computer Science Applications', 'Software', 'Computer Vision and Pattern Recognition', 'Pathology and Forensic Medicine', 'Medicine (miscellaneous)', 'Computer Science (all)', 'Signal Processing', 'Surgery', 'Health Informatics', 'Information Systems', 'Computer Networks and Communications', 'Multidisciplinary', 'Computer Graphics and Computer-Aided Design', 'Theoretical Computer Science', 'Radiology, Nuclear Medicine and Imaging', 'Radiological and Ultrasound Technology', 'Cell Biology', 'Artificial Intelligence']","['Convolutional neural network (CNN)', 'Pulmonary embolism', 'Radiology report analysis', 'Recurrent neural network (RNN)', 'Text report classification']"
YuanLing,Ling Y.,Philips Research,7,37,"['Theoretical Computer Science', 'Medicine (miscellaneous)', 'Biomedical Engineering', 'Computer Science (all)', 'Artificial Intelligence', 'Health Informatics']","['Convolutional neural network (CNN)', 'Pulmonary embolism', 'Radiology report analysis', 'Recurrent neural network (RNN)', 'Text report classification']"
Matthew C.Chen,Chen M.,Stanford University,4,36,"['Artificial Intelligence', 'Health Informatics', 'Computer Science Applications', 'Radiology, Nuclear Medicine and Imaging', 'Medicine (miscellaneous)']","['Convolutional neural network (CNN)', 'Pulmonary embolism', 'Radiology report analysis', 'Recurrent neural network (RNN)', 'Text report classification']"
Sadid A.Hasan,Hasan S.,Philips Research,30,152,"['Linguistics and Language', 'Computer Vision and Pattern Recognition', 'Computer Science (all)', 'Software', 'Language and Linguistics', 'Biomedical Engineering', 'Computer Networks and Communications', 'Information Systems', 'Theoretical Computer Science', 'Computer Science Applications', 'Media Technology', 'Management Science and Operations Research', 'Computational Theory and Mathematics', 'Health Information Management', 'Artificial Intelligence', 'Medicine (miscellaneous)', 'Health Informatics', 'Human-Computer Interaction', 'Library and Information Sciences']","['Convolutional neural network (CNN)', 'Pulmonary embolism', 'Radiology report analysis', 'Recurrent neural network (RNN)', 'Text report classification']"
Curtis P.M.D.Langlotz,Langlotz C.,"Stanford University Medical Center, Department of Radiology",130,2802,"['Critical Care and Intensive Care Medicine', 'Artificial Intelligence', 'Emergency Medicine', 'Biomedical Engineering', 'Neurology (clinical)', 'Radiology, Nuclear Medicine and Imaging', 'Medicine (miscellaneous)', 'Biophysics', 'Health Informatics', 'Electronic, Optical and Magnetic Materials', 'Pulmonary and Respiratory Medicine', 'Information Systems', 'Applied Mathematics', 'Engineering (all)', 'Gastroenterology', 'Condensed Matter Physics', 'Library and Information Sciences', 'Software', 'Cardiology and Cardiovascular Medicine', 'Computer Vision and Pattern Recognition', 'Public Health, Environmental and Occupational Health', 'Computer Science Applications', 'Health Information Management', 'Medicine (all)', 'Electrical and Electronic Engineering', 'Radiological and Ultrasound Technology', 'Nursing (all)', 'Urology', 'Ophthalmology', 'Biochemistry, Genetics and Molecular Biology (all)']","['Convolutional neural network (CNN)', 'Pulmonary embolism', 'Radiology report analysis', 'Recurrent neural network (RNN)', 'Text report classification']"
NathanielMoradzadeh,Moradzadeh N.,"Stanford University School of Medicine, Department of Radiology",5,14,"['Modeling and Simulation', 'Radiology, Nuclear Medicine and Imaging', 'Artificial Intelligence', 'Statistics and Probability', 'Medicine (miscellaneous)', 'Cardiology and Cardiovascular Medicine']","['Convolutional neural network (CNN)', 'Pulmonary embolism', 'Radiology report analysis', 'Recurrent neural network (RNN)', 'Text report classification']"
Brian E.Chapman,Chapman B.,"University of Utah Health Sciences, Department of Bioinformat-ics",55,672,"['Food Science', 'Biophysics', 'Computer Science (all)', 'Computer Vision and Pattern Recognition', 'Software', 'Physiology', 'Computational Mathematics', 'Statistics, Probability and Uncertainty', 'Atomic and Molecular Physics, and Optics', 'Health Informatics', 'Theoretical Computer Science', 'Radiology, Nuclear Medicine and Imaging', 'Medicine (miscellaneous)', 'Health Information Management', 'Biochemistry, Genetics and Molecular Biology (all)', 'Biomedical Engineering', 'Computer Science Applications', 'Biotechnology', 'Computer Science (miscellaneous)', 'Biochemistry', 'Physiology (medical)', 'Electrical and Electronic Engineering', 'Engineering (all)', 'Animal Science and Zoology', 'Condensed Matter Physics', 'Statistics and Probability', 'Electronic, Optical and Magnetic Materials', 'Computer Graphics and Computer-Aided Design', 'Artificial Intelligence', 'Medicine (all)', 'Biomaterials', 'Radiological and Ultrasound Technology']","['Convolutional neural network (CNN)', 'Pulmonary embolism', 'Radiology report analysis', 'Recurrent neural network (RNN)', 'Text report classification']"
Timothy J.Amrhein,Amrhein T.,"Duke University, Department of Radiology",38,122,"['Anesthesiology and Pain Medicine', 'Education', 'Pediatrics, Perinatology and Child Health', 'Pulmonary and Respiratory Medicine', 'Neurology', 'Medicine (all)', 'Radiology, Nuclear Medicine and Imaging', 'Neurology (clinical)', 'Medicine (miscellaneous)', 'Emergency Medicine', 'Artificial Intelligence', 'Physiology (medical)', 'Urology']","['Convolutional neural network (CNN)', 'Pulmonary embolism', 'Radiology report analysis', 'Recurrent neural network (RNN)', 'Text report classification']"
DavidMong,Mong D.,"Children's Hospital Colorado Foundation, Department of Radiology",1,0,"['Artificial Intelligence', 'Medicine (miscellaneous)']","['Convolutional neural network (CNN)', 'Pulmonary embolism', 'Radiology report analysis', 'Recurrent neural network (RNN)', 'Text report classification']"
Daniel L.Rubin,Rubin D.,"Stanford University, Department of Radiology",266,7104,"['Statistics and Probability', 'Health Information Management', 'Neuroscience (miscellaneous)', 'Control and Systems Engineering', 'Pathology and Forensic Medicine', 'Molecular Biology', 'Pharmacology', 'Biotechnology', 'Hardware and Architecture', 'Radiological and Ultrasound Technology', 'Cellular and Molecular Neuroscience', 'Oncology', 'Radiology, Nuclear Medicine and Imaging', 'Multidisciplinary', 'Acoustics and Ultrasonics', 'Developmental Biology', 'Computer Networks and Communications', 'Artificial Intelligence', 'Pharmacology, Toxicology and Pharmaceutics (all)', 'Software', 'Library and Information Sciences', 'Theoretical Computer Science', 'Medicine (miscellaneous)', 'Organic Chemistry', 'Cancer Research', 'Biomedical Engineering', 'Molecular Medicine', 'Neurology (clinical)', 'Cognitive Neuroscience', 'Medicine (all)', 'Ophthalmology', 'Condensed Matter Physics', 'Psychiatry and Mental Health', 'Radiation', 'Advanced and Specialized Nursing', 'Ecology, Evolution, Behavior and Systematics', 'Urology', 'Biochemistry', 'Cell Biology', 'Biochemistry, Genetics and Molecular Biology (all)', 'Computational Theory and Mathematics', 'Surgery', 'Health Informatics', 'Electronic, Optical and Magnetic Materials', 'Histology', 'Computer Science (all)', 'Electrical and Electronic Engineering', 'Cardiology and Cardiovascular Medicine', 'Information Systems', 'Bioengineering', 'Sensory Systems', 'Modeling and Simulation', 'Physics and Astronomy (all)', 'Gastroenterology', 'Applied Mathematics', 'Statistics, Probability and Uncertainty', 'Atomic and Molecular Physics, and Optics', 'Epidemiology', 'Education', 'Neuroscience (all)', 'Genetics', 'Clinical Biochemistry', 'Biophysics', 'Computer Vision and Pattern Recognition', 'Computer Science Applications', 'Genetics (clinical)', 'Agricultural and Biological Sciences (all)', 'Structural Biology', 'Ecology', 'Computer Science (miscellaneous)', 'Philosophy', 'Catalysis', 'Signal Processing', 'Computer Graphics and Computer-Aided Design', 'Drug Discovery', 'Chemistry (all)']","['Convolutional neural network (CNN)', 'Pulmonary embolism', 'Radiology report analysis', 'Recurrent neural network (RNN)', 'Text report classification']"
OladimejiFarri,Farri O.,Philips Research,22,114,"['Language and Linguistics', 'Computer Networks and Communications', 'Linguistics and Language', 'Computer Science Applications', 'Computer Science (all)', 'Software', 'Biomedical Engineering', 'Artificial Intelligence', 'Medicine (all)', 'Public Health, Environmental and Occupational Health', 'Medicine (miscellaneous)', 'Computational Theory and Mathematics', 'Health Information Management', 'Nursing (all)', 'Health Informatics', 'Theoretical Computer Science']","['Convolutional neural network (CNN)', 'Pulmonary embolism', 'Radiology report analysis', 'Recurrent neural network (RNN)', 'Text report classification']"
Matthew P.Lungren,Lungren M.,Stanford University,62,347,"['Biotechnology', 'Pharmacology', 'Nephrology', 'Developmental Neuroscience', 'Hematology', 'Radiology, Nuclear Medicine and Imaging', 'Cardiology and Cardiovascular Medicine', 'Theoretical Computer Science', 'Biochemistry, Genetics and Molecular Biology (all)', 'Gastroenterology', 'Bioengineering', 'Pediatrics, Perinatology and Child Health', 'Oncology', 'Transplantation', 'Biomedical Engineering', 'Pharmaceutical Science', 'Computer Science (all)', 'Medicine (miscellaneous)', 'Health Informatics', 'Neurology (clinical)', 'Artificial Intelligence', 'Surgery', 'Medicine (all)', 'Organic Chemistry', 'Computer Science Applications', 'Pharmacology (medical)', 'Neurology']","['Convolutional neural network (CNN)', 'Pulmonary embolism', 'Radiology report analysis', 'Recurrent neural network (RNN)', 'Text report classification']"
Nadia MasoodKhan,Khan N.,"University of Engineering and Technology, Peshawar, Department of Electrical Engineering",3,0,"['Theoretical Computer Science', 'Artificial Intelligence', 'Computer Science Applications', 'Computer Science (all)']","['Cartesian genetic programming (CGP)', 'Missing audio samples', 'Predication', 'Recurrent neural network (RNN)', 'Signal reconstruction']"
Gul MuhammadKhan,Khan G.,"University of Engineering and Technology, Peshawar, Department of Electrical Engineering",76,255,"['Neuroscience (all)', 'Hardware and Architecture', 'Mechanical Engineering', 'Software', 'Computer Science Applications', 'Computer Networks and Communications', 'Control and Optimization', 'Signal Processing', 'Electrical and Electronic Engineering', 'Information Systems', 'Modeling and Simulation', 'Computer Science (all)', 'Mathematics (all)', 'Automotive Engineering', 'Computational Mathematics', 'Artificial Intelligence', 'Theoretical Computer Science', 'Applied Mathematics', 'Computational Theory and Mathematics', 'Information Systems and Management', 'Human-Computer Interaction', 'Engineering (all)', 'Control and Systems Engineering', 'Energy Engineering and Power Technology']","['Cartesian genetic programming (CGP)', 'Missing audio samples', 'Predication', 'Recurrent neural network (RNN)', 'Signal reconstruction']"
YanCui,Cui Y.,Zhejiang University,3,0,"['Theoretical Computer Science', 'Software', 'Electrical and Electronic Engineering', 'Health Information Management', 'Biotechnology', 'Computer Science Applications', 'Computer Science (all)', 'Radiological and Ultrasound Technology']","['Brain network', 'Deep learning', 'RNN', 'Task fMRI']"
ShijieZhao,Zhao S.,"Northwestern Polytechnical University, School of Automation",28,103,"['Psychiatry and Mental Health', 'Computer Science (all)', 'Radiology, Nuclear Medicine and Imaging', 'Media Technology', 'Multidisciplinary', 'Software', 'Neurology (clinical)', 'Radiological and Ultrasound Technology', 'Computer Vision and Pattern Recognition', 'Computer Networks and Communications', 'Behavioral Neuroscience', 'Information Systems', 'Biomedical Engineering', 'Theoretical Computer Science', 'Cognitive Neuroscience', 'Neuroscience (all)', 'Cellular and Molecular Neuroscience', 'Health Information Management', 'Electrical and Electronic Engineering', 'Computer Science Applications', 'Biotechnology', 'Computer Graphics and Computer-Aided Design', 'Neuroscience (miscellaneous)', 'Neurology', 'Control and Systems Engineering']","['Brain network', 'Deep learning', 'RNN', 'Task fMRI']"
HanWang,Wang H.,"Zhejiang University, College of Biomedical Engineering and Instrument Science",7,1,"['Neurology', 'Anatomy', 'Computer Networks and Communications', 'Neuroscience (all)', 'Computational Mechanics', 'Biotechnology', 'Biomedical Engineering', 'Software', 'Health Information Management', 'Neurology (clinical)', 'Aerospace Engineering', 'Electrical and Electronic Engineering', 'Information Systems', 'Radiology, Nuclear Medicine and Imaging', 'Radiological and Ultrasound Technology', 'Computer Science Applications']","['Brain network', 'Deep learning', 'RNN', 'Task fMRI']"
LeoXie,Xie L.,"Zhejiang University, State Key Laboratory of Industrial Control Technology",2,0,"['Biotechnology', 'Health Information Management', 'Computer Science Applications', 'Electrical and Electronic Engineering', 'Neuroscience (all)', 'Biomedical Engineering']","['Brain network', 'Deep learning', 'RNN', 'Task fMRI']"
YaowuChen,Chen Y.,Zhejiang Provincial Key Laboratory for Network Multimedia Technologies,176,617,"['Cognitive Neuroscience', 'Control and Systems Engineering', 'Biomedical Engineering', 'Multidisciplinary', 'Media Technology', 'Human-Computer Interaction', 'Computer Networks and Communications', 'Neurology (clinical)', 'Energy (all)', 'Health Informatics', 'Mechanics of Materials', 'Artificial Intelligence', 'Neurology', 'Software', 'Metals and Alloys', 'Radiology, Nuclear Medicine and Imaging', 'Psychiatry and Mental Health', 'Polymers and Plastics', 'Health Information Management', 'Biochemistry, Genetics and Molecular Biology (all)', 'Computer Science Applications', 'Computational Theory and Mathematics', 'Electronic, Optical and Magnetic Materials', 'Theoretical Computer Science', 'Sensory Systems', 'Instrumentation', 'Engineering (all)', 'Behavioral Neuroscience', 'Modeling and Simulation', 'Materials Science (all)', 'Information Systems', 'Electrical and Electronic Engineering', 'Atomic and Molecular Physics, and Optics', 'Computer Science (all)', 'Computer Vision and Pattern Recognition', 'Condensed Matter Physics', 'Computational Mechanics', 'Ocean Engineering', 'Computer Graphics and Computer-Aided Design', 'Anatomy', 'Geotechnical Engineering and Engineering Geology', 'Computer Science (miscellaneous)', 'Industrial and Manufacturing Engineering', 'Biotechnology', 'Signal Processing', 'Hardware and Architecture', 'Information Systems and Management', 'Mechanical Engineering', 'Communication', 'Materials Chemistry', 'Automotive Engineering', 'Cellular and Molecular Neuroscience', 'Control and Optimization', 'Radiological and Ultrasound Technology']","['Brain network', 'Deep learning', 'RNN', 'Task fMRI']"
JunweiHan,Han J.,"Northwestern Polytechnical University, School of Automation",281,2544,"['Computer Science Applications', 'Computer Science (all)', 'Condensed Matter Physics', 'Electrical and Electronic Engineering', 'Information Systems', 'Health Information Management', 'Cellular and Molecular Neuroscience', 'Biotechnology', 'Statistics and Probability', 'Medicine (all)', 'Software', 'Neuroscience (miscellaneous)', 'Atmospheric Science', 'Geotechnical Engineering and Engineering Geology', 'Industrial and Manufacturing Engineering', 'Agricultural and Biological Sciences (all)', 'Aerospace Engineering', 'Developmental Biology', 'Computers in Earth Sciences', 'Engineering (all)', 'Signal Processing', 'Computational Mathematics', 'Computer Graphics and Computer-Aided Design', 'Computer Vision and Pattern Recognition', 'Molecular Biology', 'Hardware and Architecture', 'Mechanical Engineering', 'Radiological and Ultrasound Technology', 'Computer Networks and Communications', 'Information Systems and Management', 'Atomic and Molecular Physics, and Optics', 'Automotive Engineering', 'Neuroscience (all)', 'Multidisciplinary', 'Applied Mathematics', 'Engineering (miscellaneous)', 'Biochemistry', 'Biomedical Engineering', 'Earth-Surface Processes', 'Behavioral Neuroscience', 'Education', 'Modeling and Simulation', 'Media Technology', 'Theoretical Computer Science', 'Histology', 'Control and Systems Engineering', 'Earth and Planetary Sciences (all)', 'Human-Computer Interaction', 'Anatomy', 'Electronic, Optical and Magnetic Materials', 'Computational Theory and Mathematics', 'Instrumentation', 'Neurology', 'Mathematics (all)', 'Biochemistry, Genetics and Molecular Biology (all)', 'Psychiatry and Mental Health', 'Health Informatics', 'Human Factors and Ergonomics', 'Neurology (clinical)', 'Materials Science (all)', 'Artificial Intelligence', 'Cognitive Neuroscience', 'Radiology, Nuclear Medicine and Imaging']","['Brain network', 'Deep learning', 'RNN', 'Task fMRI']"
LeiGuo,Guo L.,"Northwestern Polytechnical University, Brain Decoding Research Center",325,2458,"['Information Systems', 'Radiology, Nuclear Medicine and Imaging', 'Genetics (clinical)', 'Atomic and Molecular Physics, and Optics', 'Space and Planetary Science', 'Genetics', 'Condensed Matter Physics', 'Numerical Analysis', 'Geotechnical Engineering and Engineering Geology', 'Clinical Biochemistry', 'Radiological and Ultrasound Technology', 'Electrical and Electronic Engineering', 'Health (social science)', 'Industrial and Manufacturing Engineering', 'Aerospace Engineering', 'Computer Vision and Pattern Recognition', 'Immunology and Microbiology (all)', 'Electronic, Optical and Magnetic Materials', 'Computational Mathematics', 'Anatomy', 'Theoretical Computer Science', 'Endocrinology', 'Modeling and Simulation', 'Cognitive Neuroscience', 'Software', 'Polymers and Plastics', 'Assessment and Diagnosis', 'Biochemistry, Genetics and Molecular Biology (all)', 'Instrumentation', 'Computational Theory and Mathematics', 'Health Information Management', 'Biomedical Engineering', 'Histology', 'Cell Biology', 'Health Informatics', 'Neuropsychology and Physiological Psychology', 'Neurology', 'Engineering (miscellaneous)', 'Behavioral Neuroscience', 'Computer Science Applications', 'Neurology (clinical)', 'Sensory Systems', 'Applied Mathematics', 'Biophysics', 'Multidisciplinary', 'Media Technology', 'Medicine (all)', 'Mathematics (all)', 'Human Factors and Ergonomics', 'Computer Networks and Communications', 'Medicine (miscellaneous)', 'Earth and Planetary Sciences (all)', 'Psychiatry and Mental Health', 'Human-Computer Interaction', 'Molecular Medicine', 'Neuroscience (miscellaneous)', 'Cellular and Molecular Neuroscience', 'Education', 'Drug Discovery', 'Biochemistry', 'Engineering (all)', 'Control and Systems Engineering', 'Biochemistry (medical)', 'Artificial Intelligence', 'Hardware and Architecture', 'Biotechnology', 'Geriatrics and Gerontology', 'Computer Science (all)', 'Agricultural and Biological Sciences (all)', 'Computer Graphics and Computer-Aided Design', 'Control and Optimization', 'Biomaterials', 'Pathology and Forensic Medicine', 'Mechanical Engineering', 'Information Systems and Management', 'Statistics and Probability', 'Signal Processing', 'Molecular Biology', 'Computers in Earth Sciences', 'Physics and Astronomy (all)', 'Developmental Biology', 'Hematology', 'Neuroscience (all)']","['Brain network', 'Deep learning', 'RNN', 'Task fMRI']"
FanZhou,Zhou F.,Zhejiang University,4,1,"['Polymers and Plastics', 'Theoretical Computer Science', 'Biotechnology', 'Computer Science (all)', 'Computer Science Applications', 'Industrial and Manufacturing Engineering', 'Electrical and Electronic Engineering', 'Health Information Management']","['Brain network', 'Deep learning', 'RNN', 'Task fMRI']"
TianmingLiu,Liu T.,"The University of Georgia, Department of Computer Science",354,2152,"['Histology', 'Developmental Neuroscience', 'Developmental and Educational Psychology', 'Cell Biology', 'Biochemistry, Genetics and Molecular Biology (all)', 'Computational Theory and Mathematics', 'Electrical and Electronic Engineering', 'Neurology (clinical)', 'Behavioral Neuroscience', 'Endocrinology', 'Neurology', 'Modeling and Simulation', 'Software', 'Atomic and Molecular Physics, and Optics', 'Biophysics', 'Music', 'Sensory Systems', 'Physiology', 'Applied Mathematics', 'Health Informatics', 'Computer Science Applications', 'Clinical Biochemistry', 'Theoretical Computer Science', 'Biomedical Engineering', 'Information Systems', 'Genetics', 'Assessment and Diagnosis', 'Anatomy', 'Industrial and Manufacturing Engineering', 'Computational Mathematics', 'Drug Discovery', 'Immunology and Microbiology (all)', 'Computer Vision and Pattern Recognition', 'Education', 'Electronic, Optical and Magnetic Materials', 'Cognitive Neuroscience', 'Pathology and Forensic Medicine', 'Information Systems and Management', 'Mechanical Engineering', 'Statistics and Probability', 'Biomaterials', 'Molecular Biology', 'Health Information Management', 'Radiology, Nuclear Medicine and Imaging', 'Hardware and Architecture', 'Agricultural and Biological Sciences (all)', 'Geriatrics and Gerontology', 'Biotechnology', 'Signal Processing', 'Computer Science (miscellaneous)', 'Computer Graphics and Computer-Aided Design', 'Neuroscience (all)', 'Human Factors and Ergonomics', 'Statistical and Nonlinear Physics', 'Multidisciplinary', 'Hematology', 'Physiology (medical)', 'Computer Networks and Communications', 'Computer Science (all)', 'Neuropsychology and Physiological Psychology', 'Environmental Science (all)', 'Developmental Biology', 'Psychiatry and Mental Health', 'Medicine (miscellaneous)', 'Medicine (all)', 'Condensed Matter Physics', 'Media Technology', 'Radiological and Ultrasound Technology', 'Health (social science)', 'Biochemistry', 'Control and Systems Engineering', 'Cellular and Molecular Neuroscience', 'Human-Computer Interaction', 'Neuroscience (miscellaneous)', 'Artificial Intelligence', 'Engineering (all)', 'Experimental and Cognitive Psychology']","['Brain network', 'Deep learning', 'RNN', 'Task fMRI']"
MiguelLagunes-Fortiz,Lagunes-Fortiz M.,"University of Bristol, Bristol Robotics Laboratory",1,0,"['Computer Science (all)', 'Theoretical Computer Science']","['Deep learning', 'Object recognition', 'Temporal modeling']"
Dima JamalDamen,Damen D.,"University of Bristol, VI-Lab",46,304,"['Medicine (all)', 'Health Information Management', 'Hardware and Architecture', 'Agricultural and Biological Sciences (all)', 'Biochemistry, Genetics and Molecular Biology (all)', 'Computational Theory and Mathematics', 'Mechanical Engineering', 'Health Policy', 'Instrumentation', 'Surgery', 'Control and Systems Engineering', 'Applied Mathematics', 'Theoretical Computer Science', 'Information Systems', 'Physiology', 'Physiology (medical)', 'Electrical and Electronic Engineering', 'Computer Networks and Communications', 'Computer Science (all)', 'Biomedical Engineering', 'Artificial Intelligence', 'Health Informatics', 'Human-Computer Interaction', 'Software', 'Computer Vision and Pattern Recognition', 'Industrial and Manufacturing Engineering', 'Health (social science)', 'Computer Science Applications', 'Biotechnology', 'Signal Processing']","['Deep learning', 'Object recognition', 'Temporal modeling']"
Walterio W.Mayol-Cuevas,Mayol-Cuevas W.,University of Bristol,83,709,"['Hardware and Architecture', 'Electrical and Electronic Engineering', 'Software', 'Signal Processing', 'Agricultural and Biological Sciences (all)', 'Computer Graphics and Computer-Aided Design', 'Radiology, Nuclear Medicine and Imaging', 'Human-Computer Interaction', 'Theoretical Computer Science', 'Artificial Intelligence', 'Computer Vision and Pattern Recognition', 'Modeling and Simulation', 'Engineering (all)', 'Medicine (all)', 'Computer Science (all)', 'Chemical Health and Safety', 'Media Technology', 'Biomedical Engineering', 'Information Systems', 'Computer Networks and Communications', 'Safety, Risk, Reliability and Quality', 'Computer Science Applications', 'Mathematics (all)', 'Biochemistry, Genetics and Molecular Biology (all)', 'Control and Systems Engineering']","['Deep learning', 'Object recognition', 'Temporal modeling']"
Brenden M.Lake,Lake B.,"New York University, Center for Data Science",9,335,"['Software', 'Computer Science (all)', 'Biomedical Engineering', 'Signal Processing', 'Human-Computer Interaction', 'Computational Theory and Mathematics', 'Artificial Intelligence', 'Cognitive Neuroscience', 'Experimental and Cognitive Psychology', 'Education', 'Physiology', 'Information Systems', 'Developmental Biology', 'Behavioral Neuroscience', 'Multidisciplinary', 'Computer Networks and Communications', 'Neuropsychology and Physiological Psychology']",[]
MarcoBaroni,Baroni M.,Facebook Research,1,0,"['Software', 'Computational Theory and Mathematics', 'Human-Computer Interaction']",[]
HanzhongZheng,Zheng H.,"University of Pittsburgh, Department of Computer Science",2,0,"['Computer Vision and Pattern Recognition', 'Computer Science (all)', 'Computer Science Applications', 'Human-Computer Interaction', 'Language and Linguistics', 'Theoretical Computer Science', 'Software']","['Deep learning', 'Gaussian process', 'Mortality prediction', 'Recurrent neural network']"
DejiaShi,Shi D.,"Hunan University of Commerce, Key Laboratory of Hunan Province for New Retail Virtual Reality Technology",1,0,"['Theoretical Computer Science', 'Computer Science (all)']","['Deep learning', 'Gaussian process', 'Mortality prediction', 'Recurrent neural network']"
Charilaos I.Kourogiorgas,Kourogiorgas C.,"National Technical University of Athens, School of Electrical and Computer Engineering",84,223,"['Software', 'Media Technology', 'Electrical and Electronic Engineering', 'Condensed Matter Physics', 'Engineering (all)', 'Electronic, Optical and Magnetic Materials', 'Control and Systems Engineering', 'Aerospace Engineering', 'Computer Networks and Communications', 'Management Information Systems', 'Safety Research', 'Computer Science Applications', 'Radiation', 'Modeling and Simulation', 'Hardware and Architecture', 'Signal Processing', 'Computational Theory and Mathematics', 'Physics and Astronomy (all)', 'Communication', 'Instrumentation', 'Safety, Risk, Reliability and Quality', 'Information Systems', 'Computer Vision and Pattern Recognition', 'Automotive Engineering', 'Computer Science (all)']","['Deep learning', 'Forecast', 'Ka band and above', 'Machine learning', 'Radiowave propagation', 'Satellite communications']"
Apostolos Z.Papafragkakis,Papafragkakis A.,"National Technical University of Athens, School of Electrical and Computer Engineering",15,19,"['Electrical and Electronic Engineering', 'Signal Processing', 'Radiation', 'Safety Research', 'Media Technology', 'Social Sciences (all)', 'Computer Networks and Communications', 'Control and Systems Engineering', 'Instrumentation', 'Information Systems']","['Deep learning', 'Forecast', 'Ka band and above', 'Machine learning', 'Radiowave propagation', 'Satellite communications']"
Athanasios D.Panagopoulos,Panagopoulos A.,"National Technical University of Athens, School of Electrical and Computer Engineering",297,1378,"['Computer Science (all)', 'Electrical and Electronic Engineering', 'Space and Planetary Science', 'Safety, Risk, Reliability and Quality', 'Condensed Matter Physics', 'Education', 'Atmospheric Science', 'Computer Vision and Pattern Recognition', 'Statistical and Nonlinear Physics', 'Automotive Engineering', 'Physics and Astronomy (all)', 'Computer Science Applications', 'Social Sciences (all)', 'Atomic and Molecular Physics, and Optics', 'Applied Mathematics', 'Human-Computer Interaction', 'Civil and Structural Engineering', 'Mechanical Engineering', 'Instrumentation', 'Software', 'Communication', 'Modeling and Simulation', 'Computer Networks and Communications', 'Computers in Earth Sciences', 'Computational Theory and Mathematics', 'Economics and Econometrics', 'Signal Processing', 'Information Systems and Management', 'Information Systems', 'Electronic, Optical and Magnetic Materials', 'Geophysics', 'Physics and Astronomy (miscellaneous)', 'Safety Research', 'Aerospace Engineering', 'Management Information Systems', 'Geochemistry and Petrology', 'Mathematical Physics', 'Control and Systems Engineering', 'Computational Mathematics', 'Hardware and Architecture', 'Media Technology', 'Transportation', 'Numerical Analysis', 'Radiation', 'Engineering (all)', 'Mathematics (all)']","['Deep learning', 'Forecast', 'Ka band and above', 'Machine learning', 'Radiowave propagation', 'Satellite communications']"
Spiros G.Ventouras,Ventouras S.,Science and Technology Facilities Council,30,93,"['Condensed Matter Physics', 'Earth and Planetary Sciences (all)', 'Geochemistry and Petrology', 'Electrical and Electronic Engineering', 'Signal Processing', 'Computer Networks and Communications', 'Media Technology', 'Safety Research', 'Radiation', 'Aerospace Engineering', 'Computer Science Applications', 'Information Systems', 'Computers in Earth Sciences', 'Physics and Astronomy (all)', 'Engineering (all)', 'Atmospheric Science', 'Electronic, Optical and Magnetic Materials', 'Instrumentation', 'Geophysics', 'Space and Planetary Science']","['Deep learning', 'Forecast', 'Ka band and above', 'Machine learning', 'Radiowave propagation', 'Satellite communications']"
HaoChen,Chen H.,Technological University Dublin,4,3,"['Artificial Intelligence', 'Control and Systems Engineering', 'Computer Science (all)', 'Theoretical Computer Science', 'Software', 'Computer Networks and Communications']","['Abuse detection', 'Deep learning', 'Text classification']"
SusanMcKeever,McKeever S.,Technological University Dublin,12,418,"['Computer Science Applications', 'Industrial and Manufacturing Engineering', 'Computer Vision and Pattern Recognition', 'Management Information Systems', 'Mathematics (all)', 'Computer Science (all)', 'Computer Science (miscellaneous)', 'Artificial Intelligence', 'Software', 'Computational Theory and Mathematics', 'Human-Computer Interaction', 'Control and Systems Engineering', 'Theoretical Computer Science', 'Applied Mathematics', 'Computer Networks and Communications']","['Abuse detection', 'Deep learning', 'Text classification']"
